# theta1,theta2 in radians, 100 Hz
-1.1781415812,1.9359594175
-1.1781415812,1.9359593756
-1.1781415812,1.9359593337
-1.1781415812,1.9359592919
-1.1781415812,1.9359592500
-1.1781415812,1.9359592081
-1.1781415812,1.9359591662
-1.1781415812,1.9359591243
-1.1781415812,1.9359590824
-1.1781415812,1.9359590406
-1.1781415812,1.9359589987
-1.1781415812,1.9359589568
-1.1781415812,1.9359589149
-1.1781415812,1.9359588730
-1.1781415812,1.9359588311
-1.1781415812,1.9359587892
-1.1781415812,1.9359587474
-1.1781415812,1.9359587055
-1.1781415812,1.9359586636
-1.1781415812,1.9359586217
-1.1781415812,1.9359585798
-1.1781415812,1.9359585379
-1.1781415812,1.9359584961
-1.1781415812,1.9359584542
-1.1781415812,1.9359584123
-1.1781415812,1.9359583704
-1.1781415812,1.9359583285
-1.1781415812,1.9359582866
-1.1781415812,1.9359582447
-1.1781415812,1.9359582029
-1.1781415812,1.9359581610
-1.1781415812,1.9359581191
-1.1781415812,1.9359580772
-1.1781415812,1.9359580353
-1.1781415812,1.9359579934
-1.1781415812,1.9359579516
-1.1781415812,1.9359579097
-1.1781415812,1.9359578678
-1.1781415812,1.9359578259
-1.1781415812,1.9359577840
-1.1781415812,1.9359577421
-1.1781415812,1.9359577002
-1.1781415812,1.9359576584
-1.1781415812,1.9359576165
-1.1781415812,1.9359575746
-1.1781415812,1.9359575327
-1.1781415812,1.9359574908
-1.1781415812,1.9359574489
-1.1781415812,1.9359574070
-1.1781415812,1.9359573652
-1.1781415812,1.9359573233
-1.1781415812,1.9359572814
-1.1781415812,1.9359572395
-1.1781415812,1.9359571976
-1.1781415812,1.9359571557
-1.1781415812,1.9359571139
-1.1781415812,1.9359570720
-1.1781415812,1.9359570301
-1.1781415812,1.9359569882
-1.1781415812,1.9359569463
-1.1781415812,1.9359569044
-1.1781415812,1.9359568625
-1.1781415812,1.9359568207
-1.1781415812,1.9359567788
-1.1781415812,1.9359567369
-1.1781415812,1.9359566950
-1.1781415812,1.9359566531
-1.1781415812,1.9359566112
-1.1781415812,1.9359565694
-1.1781415812,1.9359565275
-1.1781415812,1.9359564856
-1.1781415812,1.9359564437
-1.1781415812,1.9359564018
-1.1781415812,1.9359563599
-1.1781415812,1.9359563180
-1.1781415812,1.9359562762
-1.1781415812,1.9359562343
-1.1781415812,1.9359561924
-1.1781415812,1.9359561505
